-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,1,-1,-1,-1,-1,-1,-1
-1,-1,1,1,-1,-1,-1,-1,-1,-1
-1,-1,1,-1,1,-1,-1,-1,-1,-1
-1,1,-1,-1,1,-1,-1,-1,-1,-1
-1,1,-1,1,1,1,-1,-1,-1,-1
1,-1,1,-1,1,1,-1,-1,-1,-1
1,-1,-1,-1,-1,1,1,-1,-1,-1
1,-1,1,-1,-1,1,1,-1,-1,-1
-1,1,-1,1,-1,-1,1,1,-1,-1
-1,1,-1,-1,-1,-1,-1,1,-1,-1
-1,1,-1,1,-1,-1,1,-1,1,-1
-1,-1,-1,1,-1,-1,-1,-1,1,-1
-1,1,-1,-1,-1,-1,1,-1,-1,1
-1,1,-1,1,-1,-1,1,-1,-1,-1
-1,-1,1,-1,1,1,1,-1,-1,1
-1,-1,1,-1,38,-1,53,-1,1,-1
-1,-1,1,-1,-1,-1,-1,-1,1,-1
-1,-1,-1,-1,-1,-1,-1,1,-1,-1
-1,-1,1,-1,-1,53,-1,1,-1,-1
-1,-1,1,-1,-1,-1,1,-1,-1,-1
-1,-1,-1,1,-1,-1,38,-1,-1,-1
-1,-1,-1,-1,-1,1,58,-1,-1,-1
-1,-1,-1,1,-1,1,-1,-1,-1,-1
-1,-1,-1,1,1,-1,-1,-1,-1,-1
-1,-1,-1,-1,1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
